,,,"Haliburton, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,    1010,,     485,,     530,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,       5,,       5,,       0,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,       0,,       0,,       0,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    1445,,     720,,     730,
"Mother tongue","            Somali",,       0,,       0,,       0,,   22680,,    9755,,   12925,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,       5,,       5,,       5,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,       0,,       0,,       0,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,       0,,       0,,       0,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,       0,,       0,,       0,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,       5,,       5,,       5,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,       0,,       0,,       0,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,       0,,       5,,       0,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,       5,,       0,,       0,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,       0,,       0,,       0,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,      15,,       5,,      10,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,       0,,       0,,       0,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,       0,,       0,,       0,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,       0,,       0,,       0,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,       5,,       5,,       5,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Malay",,       0,,       0,,       0,,    5760,,    2520,,    3240,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,      15,,       0,,      10,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,       0,,       0,,       0,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,       0,,       0,,       0,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,       0,,       0,,       0,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,       0,,       5,,       0,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,       0,,       0,,       0,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,       0,,       0,,       0,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,       0,,       0,,       0,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,       0,,       0,,       0,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,     850,,     420,,     435,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,       0,,       0,,       0,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,       0,,       0,,       0,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,     255,,     125,,     130,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      25,,      10,,      10,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,      15,,       5,,       5,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,      10,,       5,,       5,,    5175,,    2135,,    3035,
"Mother tongue","            Slavic languages",,     230,,     115,,     120,,  401645,,  184915,,  216730,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     515,,     230,,     280,
"Mother tongue","              Bosnian",,       0,,       0,,       0,,    6370,,    3125,,    3245,
"Mother tongue","              Bulgarian",,       0,,       5,,       0,,    9095,,    4355,,    4740,
"Mother tongue","              Croatian",,      25,,      15,,       5,,   31875,,   15460,,   16410,
"Mother tongue","              Czech",,      25,,      15,,      15,,   10670,,    4930,,    5740,
"Mother tongue","              Macedonian",,      10,,       5,,       5,,   15635,,    7470,,    8165,
"Mother tongue","              Polish",,      90,,      40,,      50,,  121075,,   54675,,   66405,
"Mother tongue","              Russian",,      35,,      20,,      15,,  101100,,   45630,,   55470,
"Mother tongue","              Serbian",,       5,,       5,,       0,,   41740,,   20585,,   21150,
"Mother tongue","              Serbo-Croatian",,       0,,       0,,       0,,    4875,,    2310,,    2570,
"Mother tongue","              Slovak",,      10,,       0,,       5,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,       0,,       0,,       5,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,      30,,      10,,      15,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,       0,,       0,,       0,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       0,,       0,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,     425,,     200,,     225,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,       0,,       0,,       0,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      10,,       0,,       5,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     100,,      50,,      55,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       0,,       0,,       0,,    1240,,     630,,     620,
"Mother tongue","            German",,     295,,     145,,     150,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       0,,       0,,     940,,     405,,     540,
"Mother tongue","            Swedish",,       5,,       5,,       5,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,       0,,       0,,       0,,    2150,,     925,,    1225,
