,,,"York, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of official languages","  French only",,     485,,     195,,     290,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   73200,,   30955,,   42250,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,   61855,,   25455,,   36405,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16, 1103290,,  538500,,  564785,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",, 1023355,,  504985,,  518365,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    8855,,    3925,,    4925,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,   10020,,    4510,,    5510,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,   61060,,   25075,,   35980,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,   13865,,    6180,,    7680,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.3,,    1.1,,    1.4,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18, 1103285,,  538500,,  564785,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",, 1063225,,  519200,,  544030,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  533450,,  267420,,  266035,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  525395,,  263835,,  261565,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    8055,,    3585,,    4465,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,  529775,,  251775,,  277995,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      50,,      25,,      30,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      40,,      15,,      25,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       5,,       5,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       5,,       5,,       5,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       5,,       0,,       5,,     355,,     135,,     225,
