,,,"Lanark, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Slovak",,      15,,       5,,      10,,   10280,,    4710,,    5565,
"Mother tongue","              Slovene (Slovenian)",,       0,,       0,,       0,,    6740,,    2995,,    3745,
"Mother tongue","              Ukrainian",,      40,,      20,,      20,,   40375,,   17760,,   22610,
"Mother tongue","              Slavic languages; n.i.e.",,       0,,       0,,       0,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      10,,       0,,       5,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,       5,,       0,,       0,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,     690,,     310,,     380,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,       0,,       0,,       5,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      25,,      10,,      15,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     195,,      90,,     105,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,       5,,       5,,       5,,    1240,,     630,,     620,
"Mother tongue","            German",,     435,,     200,,     235,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,      10,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,      10,,       0,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,       5,,       0,,       0,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,       5,,       0,,       5,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,       5,,       0,,       0,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     170,,      80,,      85,
"Mother tongue","          Greek",,      70,,      40,,      30,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,      90,,      40,,      45,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,      75,,      40,,      40,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,       0,,       0,,       0,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,      30,,      15,,      15,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,      15,,       5,,      10,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       0,,       0,,       0,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,       0,,       5,,       0,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,       5,,       0,,       5,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,     715,,     380,,     335,
"Mother tongue","              Punjabi (Panjabi)",,      15,,      10,,       5,,  197060,,  100160,,   96895,
"Mother tongue","              Sindhi",,       0,,       0,,       0,,    6840,,    3225,,    3615,
