,,,"Essex, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Slavic languages; n.i.e.",,      85,,      45,,      40,,    1310,,     670,,     635,
"Mother tongue","          Celtic languages",,      25,,      10,,      15,,    1110,,     505,,     605,
"Mother tongue","            Scottish Gaelic",,      15,,      10,,       5,,     450,,     210,,     240,
"Mother tongue","            Welsh",,      10,,       0,,       5,,     435,,     180,,     260,
"Mother tongue","            Celtic languages; n.i.e.",,       5,,       0,,       5,,     225,,     120,,     110,
"Mother tongue","          Germanic languages",,    9125,,    4385,,    4745,,  200640,,   94475,,  106165,
"Mother tongue","            Afrikaans",,      35,,      20,,      20,,    2295,,    1125,,    1170,
"Mother tongue","            Danish",,      65,,      30,,      35,,    4265,,    2010,,    2250,
"Mother tongue","            Dutch",,     700,,     345,,     350,,   51720,,   24875,,   26840,
"Mother tongue","            Frisian",,      15,,      10,,       5,,    1240,,     630,,     620,
"Mother tongue","            German",,    8180,,    3920,,    4260,,  131525,,   61520,,   70005,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,     210,,     100,,     110,
"Mother tongue","            Norwegian",,       5,,       5,,       5,,     940,,     405,,     540,
"Mother tongue","            Swedish",,      15,,      10,,       5,,    2395,,    1040,,    1350,
"Mother tongue","            Vlaams (Flemish)",,      85,,      35,,      50,,    2150,,     925,,    1225,
"Mother tongue","            Yiddish",,      20,,      10,,      10,,    3735,,    1765,,    1970,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       0,,       5,,     170,,      80,,      85,
"Mother tongue","          Greek",,    1050,,     515,,     530,,   55415,,   27305,,   28110,
"Mother tongue","          Indo-Iranian languages",,    8415,,    4365,,    4055,,  707845,,  357350,,  350495,
"Mother tongue","            Indo-Aryan languages",,    7540,,    3940,,    3600,,  565600,,  285720,,  279875,
"Mother tongue","              Bengali",,     645,,     320,,     320,,   46810,,   23615,,   23195,
"Mother tongue","              Gujarati",,     785,,     455,,     330,,   76675,,   38740,,   37940,
"Mother tongue","              Hindi",,     705,,     395,,     310,,   58735,,   29805,,   28930,
"Mother tongue","              Kashmiri",,      10,,       0,,       0,,     345,,     170,,     175,
"Mother tongue","              Konkani",,       5,,       0,,       5,,    2510,,    1195,,    1315,
"Mother tongue","              Marathi",,      70,,      40,,      30,,    5490,,    2805,,    2685,
"Mother tongue","              Nepali",,     460,,     225,,     235,,    7870,,    3915,,    3960,
"Mother tongue","              Oriya (Odia)",,       5,,       5,,       0,,     715,,     380,,     335,
