,,,"Timiskaming, District [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Marital status","    Living common law",,    3715,,    1850,,    1865,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   10890,,    5280,,    5605,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,    6190,,    3595,,    2595,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,     975,,     430,,     535,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    1550,,     760,,     785,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    2180,,     485,,    1690,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,    9495,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,    5725,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    1740,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    1380,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,     650,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,    9495,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,    8115,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,    6255,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    1860,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    1380,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    1025,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     355,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,    8115,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,    4855,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,    3265,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    1365,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    1280,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,     615,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    1380,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,     875,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,     370,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,     130,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,    5965,,    2960,,    3005,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   14395,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,    9215,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,    4740,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,    4480,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     135,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,    5040,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,    4665,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     380,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   31820,,   15820,,   16000,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   20495,,   10470,,   10025,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     605,,     250,,     355,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   10670,,    5070,,    5605,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,      55,,      30,,      25,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   31825,,   15820,,   16005,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   24455,,   12300,,   12155,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    7230,,    3450,,    3780,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,      85,,      40,,      45,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,      50,,      30,,      25,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    7270,,    3470,,    3805,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,   22.8,,   21.9,,   23.8,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   31825,,   15820,,   16000,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,   31340,,   15590,,   15750,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   30300,,   15100,,   15200,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   23025,,   11620,,   11405,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    7280,,    3480,,    3795,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,    1040,,     495,,     545,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      15,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      20,,      10,,      10,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,      10,,       5,,       5,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,      10,,       0,,       5,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,      10,,       5,,       5,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       5,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,      10,,       5,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       5,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
