,,,"Chatham-Kent, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,    1505,,     670,,     840,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     535,,     215,,     315,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     105,,      25,,      80,,  163415,,   63665,,   99755,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     405,,     140,,     270,
"Mother tongue","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,    1400,,     550,,     850,
"Mother tongue","        Creole languages",,      10,,      10,,       0,,   11255,,    5095,,    6165,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,     630,,     290,,     340,
"Mother tongue","          Creole; n.o.s.",,       5,,       5,,       5,,    8025,,    3580,,    4440,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       5,,       0,,    2605,,    1225,,    1380,
"Mother tongue","        Dravidian languages",,      75,,      40,,      35,,  148605,,   73530,,   75075,
"Mother tongue","          Kannada",,       0,,       0,,       0,,    2670,,    1365,,    1305,
"Mother tongue","          Malayalam",,      40,,      20,,      20,,   17140,,    8795,,    8350,
"Mother tongue","          Tamil",,      20,,      10,,      10,,  117630,,   57310,,   60320,
"Mother tongue","          Telugu",,      15,,       5,,       5,,   10820,,    5895,,    4925,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     340,,     165,,     175,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     525,,     250,,     270,
"Mother tongue","        Indo-European languages",,    7175,,    3470,,    3700,, 2024365,,  980200,, 1044165,
"Mother tongue","          Albanian",,       5,,       5,,       0,,   19045,,    9535,,    9510,
"Mother tongue","          Armenian",,       0,,       0,,       0,,   15070,,    7305,,    7765,
"Mother tongue","          Balto-Slavic languages",,     855,,     365,,     485,,  410725,,  188695,,  222025,
"Mother tongue","            Baltic languages",,      10,,      10,,       5,,    9080,,    3785,,    5295,
"Mother tongue","              Latvian",,       5,,       5,,       0,,    3910,,    1650,,    2260,
"Mother tongue","              Lithuanian",,       5,,       5,,       5,,    5175,,    2135,,    3035,
