,,,"Ottawa, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","            Cushitic languages; n.i.e.",,      95,,      40,,      50,,     225,,     115,,     110,
"Mother tongue","          Semitic languages",,   37255,,   19100,,   18155,,  227985,,  116320,,  111665,
"Mother tongue","            Amharic",,    1455,,     680,,     770,,   10720,,    4960,,    5760,
"Mother tongue","            Arabic",,   34295,,   17670,,   16625,,  171370,,   88400,,   82965,
"Mother tongue","            Assyrian Neo-Aramaic",,      75,,      35,,      45,,   14555,,    7135,,    7420,
"Mother tongue","            Chaldean Neo-Aramaic",,      10,,       5,,       5,,    4795,,    2365,,    2425,
"Mother tongue","            Harari",,      55,,      25,,      30,,    1030,,     485,,     545,
"Mother tongue","            Hebrew",,     355,,     190,,     165,,   11575,,    6220,,    5350,
"Mother tongue","            Maltese",,      30,,      10,,      20,,    5175,,    2575,,    2600,
"Mother tongue","            Tigrigna",,     905,,     440,,     465,,    7345,,    3470,,    3870,
"Mother tongue","            Semitic languages; n.i.e.",,      75,,      40,,      40,,    1435,,     705,,     730,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      55,,      30,,      25,,     520,,     265,,     250,
"Mother tongue","        Austro-Asiatic languages",,    7040,,    3230,,    3815,,   78125,,   35880,,   42240,
"Mother tongue","          Khmer (Cambodian)",,    1100,,     485,,     615,,    7355,,    3330,,    4020,
"Mother tongue","          Vietnamese",,    5935,,    2735,,    3195,,   70690,,   32520,,   38165,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      10,,       5,,      10,,      85,,      30,,      50,
"Mother tongue","        Austronesian languages",,    7785,,    2835,,    4945,,  194380,,   76060,,  118315,
"Mother tongue","          Bikol",,      30,,      15,,      20,,     595,,     260,,     330,
"Mother tongue","          Cebuano",,     365,,     125,,     240,,    6545,,    2500,,    4045,
"Mother tongue","          Fijian",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Hiligaynon",,     110,,      40,,      75,,    2750,,    1030,,    1725,
"Mother tongue","          Ilocano",,     575,,     225,,     345,,   11285,,    4430,,    6860,
"Mother tongue","          Malagasy",,      55,,      25,,      30,,     100,,      45,,      55,
