,,,"Kawartha Lakes, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Family characteristics","  3 or more children",,     285,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   11210,,    5245,,    5965,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,   31105,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,   21925,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   11620,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   10310,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,     645,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,    8535,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,    7685,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     850,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   74240,,   36600,,   37645,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   70770,,   35155,,   35615,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,      10,,       5,,       5,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,    3330,,    1385,,    1950,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,     130,,      55,,      75,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   74240,,   36595,,   37645,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   73370,,   36190,,   37175,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,     715,,     345,,     370,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,      40,,      10,,      25,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,     125,,      50,,      70,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,     730,,     350,,     385,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.0,,    1.0,,    1.0,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   74240,,   36595,,   37640,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,   73875,,   36430,,   37445,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   70575,,   34825,,   35745,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   69760,,   34450,,   35305,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,     820,,     380,,     440,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,    3300,,    1605,,    1700,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      10,,       0,,       5,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,       5,,       5,,       5,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       5,,       0,,       0,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       5,,       0,,       5,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       5,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       5,,       0,,       5,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
